Table 1,,,,,,
,title,materials,dimensions,year,,
"assets/snowing-full-3.jpg,assets/snowing-full-2.jpg,assets/snowing-full-1.jpg","Exhibition view of Snowing at D.D.D.D., New York, NY.",A collaborative installation with lari garcia,,2023,,
assets/calf.jpg,Calf,"Circular saw, charred Coca-Cola Syrup",,2023,,
"assets/hanger.jpg,assets/hanger-detail.jpg",Hanger,"Radiator, deer jaw bone",,2023,,
"assets/moth.jpg,assets/moth-detail.jpg,assets/moth-detail-2.jpg,assets/moth-2.jpg",Moth,"Salt and resin mixture, OSB, steel table frame, plexiglass, fabric, microwave, roofing adhesive gun",,2023,,
"assets/hum-full-2.jpg,assets/pfsit-full.jpg","Exhibition view of Puddlefist at The Anderson, Richmond, VA",,,,,
"assets/angel-1.jpg,assets/angel-detail.jpg,assets/angel-detail-3.jpg,assets/angel-detail4-4.jpg",Angel,Deep fried sleeping bag,,2022,,
"assets/apostate-1.jpg,assets/apostate-2.jpg,assets/apostate-3.jpg,assets/apostate-4.jpg",Apostate,Clay and resin mixture,,2022,,
"assets/hum-full.jpg,assets/hum-detail-1.jpg,assets/hum-detail-2.jpg,assets/hum-detail-3.jpg",Hum,Coca-cola syrup,,2022,,
"assets/dragged-1.jpg,assets/dragged-detail.jpg",Dragged into sunlight,"Cast urethane resin, clay residue",,2022,,
"assets/pull-1.jpg,assets/pull-2.jpg,assets/pull-3.jpg,assets/pull-4.jpg",Pull your teeth up,Cast clay and urethane resin mixture,,2022,,
"assets/jaw-ii-1.jpg,assets/jaw-ii-2,assets/jaw-ii-detail-1.jpg,assets/jaw-ii-detail-2.jpg",Jaw II,"Cast urethane resin, clay residue",,2022,,
"assets/clamor.jpg,assets/clamor-detail-1.jpg",Clamor,Coca-cola syrup,,2022,,
"assets/untitledbucket2(edit).jpg,assets/untitledbucketdetail2(edit).jpg",Untitled (bucket),Melted pill bottles,,2021,,
"assets/annihilation.jpg,assets/annihilation-2.jpg",Annihilation,"Steel, urethane resin ",,2021,,
"assets/sax.jpg,assets/sax-detail-1.jpg,assets/sax-detail-2.jpg",Untitled (saxophone),Plexiglass,,2021,,
"assets/jaw-1.jpg,assets/jaw-2.assets/full-view.jpg,jpg",Untitled (Jaw),"Pens, epoxy resin",,2020,,
"assets/n.jpg,assets/n2.jpg",N,top ramen noodles,,2019,,
